"","p","q","P","Q","aic"
"1",0,0,0,0,10000
"2",1,0,0,0,1081.04504934412
"3",1,0,0,1,723.500314494283
"4",1,0,0,2,544.799763997677
"5",1,0,0,3,450.005225122829
"6",1,0,1,0,327.915786260867
"7",1,0,1,1,36.0781056922128
"8",1,1,1,1,-0.00888692330318008
"9",1,1,3,3,-1.1555566555603
"10",1,2,1,1,-4.14088240910178
"11",2,1,1,1,-4.51213610979767
"12",2,3,2,1,-21.8422895175527
"13",8,3,1,1,-30.4663106751213
