"","X","p","q","P","Q","aic"
"13",13,8,3,1,1,-30.4663106751213
"12",12,2,3,2,1,-21.8422895175527
"11",11,2,1,1,1,-4.51213610979767
"10",10,1,2,1,1,-4.14088240910178
"9",9,1,1,3,3,-1.1555566555603
"8",8,1,1,1,1,-0.00888692330318008
"7",7,1,0,1,1,36.0781056922128
"6",6,1,0,1,0,327.915786260867
"5",5,1,0,0,3,450.005225122829
"4",4,1,0,0,2,544.799763997677
"3",3,1,0,0,1,723.500314494283
"2",2,1,0,0,0,1081.04504934412
"1",1,0,0,0,0,10000
